Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,TransUnion,,91764,Web,11/24/2015,Closed with explanation,Yes,,1669442
11/24/2015,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,IN,462XX,Web,11/24/2015,Closed with explanation,Yes,,1669665
11/24/2015,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"NCC Business Services, Inc.",NV,89129,Web,11/24/2015,In progress,Yes,,1670780
11/24/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,GA,300XX,Web,11/24/2015,Closed with explanation,Yes,,1671010
11/24/2015,Debt collection,,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,"Enhanced Recovery Company, LLC",NJ,7724,Web,11/24/2015,Closed with non-monetary relief,Yes,,1670013
11/24/2015,Credit card,,APR or interest rate,,,,JPMorgan Chase,MI,494XX,Web,11/24/2015,Closed with explanation,Yes,Yes,1669685
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,91942,Web,11/24/2015,Closed with non-monetary relief,Yes,Yes,1670436
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MA,1030,Web,11/24/2015,Closed with explanation,Yes,,1671009
11/24/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MA,1020,Web,11/24/2015,Closed with explanation,Yes,,1670616
11/24/2015,Debt collection,,Improper contact or sharing of info,Talked to a third party about my debt,,,"Dynamic Recovery Solutions, LLC",MA,023XX,Web,11/24/2015,Closed with non-monetary relief,Yes,,1670110
11/24/2015,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,Bonneville Billing and Collections,ID,83705,Web,11/24/2015,Closed with explanation,Yes,,1669960
11/24/2015,Credit card,,Other,,,,Amex,SD,574XX,Web,11/24/2015,Closed with explanation,Yes,,1669408
11/24/2015,Consumer loan,Vehicle loan,Managing the loan or lease,,,,JPMorgan Chase,NC,27518,Web,11/24/2015,Closed with explanation,Yes,Yes,1670075
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,IL,60563,Web,11/24/2015,Closed with explanation,Yes,,1670856
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,941XX,Web,11/24/2015,Closed with explanation,Yes,,1670953
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MA,1501,Web,11/25/2015,Closed with explanation,Yes,,1671502
11/24/2015,Credit reporting,,Incorrect information on credit report,Public record,,Company chooses not to provide a public response,TransUnion,OH,432XX,Web,11/24/2015,Closed with explanation,Yes,,1670214
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MD,21774,Web,11/25/2015,Closed with explanation,Yes,,1671507
11/24/2015,Credit reporting,,Incorrect information on credit report,Account terms,,Company chooses not to provide a public response,TransUnion,MI,494XX,Web,11/24/2015,Closed with explanation,Yes,,1670191
11/24/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,LA,71203,Web,11/25/2015,Closed with explanation,Yes,,1671251
11/24/2015,Debt collection,Payday loan,False statements or representation,Indicated committed crime not paying,,,"Check into Cash, Inc.",MI,486XX,Web,11/24/2015,Closed with explanation,Yes,,1670301
11/24/2015,Bank account or service,Checking account,Deposits and withdrawals,,,,Navy FCU,NJ,7018,Referral,11/24/2015,In progress,Yes,,1669409
11/24/2015,Credit card,,Identity theft / Fraud / Embezzlement,,,Company chooses not to provide a public response,Barclays,DC,200XX,Web,11/24/2015,Closed with monetary relief,Yes,,1670270
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MI,48033,Web,11/24/2015,Closed with explanation,Yes,,1669626
11/24/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,Gila LLC,TX,787XX,Web,11/24/2015,Closed with explanation,Yes,,1670286
11/24/2015,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"Mountain Land Collections, Inc.",UT,84057,Web,11/24/2015,In progress,Yes,,1669627
11/24/2015,Consumer loan,Vehicle lease,Taking out the loan or lease,,,,Nissan Motor Acceptance Corporation,CA,902XX,Web,11/24/2015,In progress,Yes,,1670437
11/24/2015,Credit card,,Rewards,,,,JPMorgan Chase,TX,75057,Web,11/25/2015,Closed with explanation,Yes,,1671494
11/24/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,WY,828XX,Web,11/24/2015,Closed with explanation,Yes,Yes,1671004
11/24/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,Transworld Systems Inc.,NY,11221,Postal mail,11/30/2015,In progress,Yes,,1669664
11/24/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,OH,452XX,Web,11/24/2015,Closed with explanation,Yes,,1670395
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,OH,45640,Web,11/24/2015,Closed with explanation,Yes,,1669635
11/24/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,PR,006XX,Web,11/24/2015,Closed with explanation,Yes,,1670581
11/24/2015,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,The TRAF Group,PA,150XX,Web,11/24/2015,Closed with explanation,Yes,,1670485
11/24/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,SunTrust Bank,WI,532XX,Web,11/25/2015,Closed with explanation,Yes,,1671254
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MA,1020,Web,11/24/2015,Closed with explanation,Yes,,1670615
11/24/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,,JPMorgan Chase,AZ,850XX,Web,11/24/2015,Closed with monetary relief,Yes,,1670563
11/24/2015,Debt collection,,Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,"Premium Asset Services, LLC",NY,142XX,Web,11/25/2015,Closed with explanation,Yes,,1671463
11/24/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,,,Company chooses not to provide a public response,Wells Fargo,TX,773XX,Web,11/24/2015,Closed with explanation,Yes,,1671361
11/24/2015,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,GA,300XX,Web,11/24/2015,Closed with explanation,Yes,,1670657
11/24/2015,Money transfers,Domestic (US) money transfer,Fraud or scam,,,,MoneyGram,CA,950XX,Web,11/24/2015,Closed with explanation,Yes,,1670693
11/24/2015,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,"Herbert P. Sears Co., Inc.",CA,943XX,Web,11/25/2015,Closed with explanation,Yes,,1671424
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,AZ,851XX,Web,11/25/2015,Closed with explanation,Yes,,1671458
11/24/2015,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,CA,953XX,Web,11/24/2015,In progress,Yes,,1670764
11/24/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,Equifax,OH,44143,Web,11/24/2015,Closed with explanation,Yes,,1670503
11/24/2015,Debt collection,Payday loan,Disclosure verification of debt,Not given enough info to verify debt,,,CNG Financial Corporation,CA,91103,Web,11/24/2015,Closed with explanation,Yes,,1669874
11/24/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,NC,27514,Web,11/24/2015,Closed with non-monetary relief,Yes,,1670044
11/24/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,NY,11419,Web,11/24/2015,Closed with explanation,Yes,,1669978
11/24/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,Fidelity Information Corporation,AZ,85143,Web,11/24/2015,Closed with explanation,Yes,,1669804
11/24/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Flagstar Bank,FL,32792,Web,11/24/2015,In progress,Yes,,1670245
11/24/2015,Debt collection,Medical,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,"Health Services Asset Management, LLC.",MT,59601,Web,11/24/2015,Closed with explanation,Yes,,1670994
11/24/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,MI,494XX,Web,11/24/2015,Closed with explanation,Yes,,1670192
11/23/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company chooses not to provide a public response,"Progressive Financial Services, Inc.",MN,55767,Postal mail,11/25/2015,Closed with explanation,Yes,,1667671
11/23/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NY,10952,Web,11/23/2015,In progress,Yes,,1667415
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MI,482XX,Web,11/24/2015,Closed with explanation,Yes,Yes,1669475
11/23/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,Company chooses not to provide a public response,Citibank,CA,90042,Web,11/23/2015,Closed with explanation,Yes,Yes,1668764
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,TN,38474,Web,11/23/2015,Closed with explanation,Yes,Yes,1667423
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,FL,349XX,Web,11/23/2015,Closed with explanation,Yes,,1668216
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,Company chooses not to provide a public response,"American Collections Enterprise, Inc.",CA,93306,Referral,11/25/2015,Closed with explanation,Yes,,1668176
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,TransUnion,TX,77450,Web,11/23/2015,Closed with explanation,Yes,,1667718
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,PA,175XX,Web,11/23/2015,Closed with explanation,Yes,,1668278
11/23/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,Equifax,AZ,85295,Web,11/23/2015,Closed with explanation,Yes,,1668408
11/23/2015,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Transworld Systems Inc.,TX,77808,Web,11/23/2015,In progress,Yes,,1667520
11/23/2015,Credit reporting,,Incorrect information on credit report,Account terms,,Company chooses not to provide a public response,TransUnion,IL,615XX,Web,11/23/2015,Closed with explanation,Yes,Yes,1668231
11/23/2015,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,TransUnion,NY,11763,Web,11/23/2015,Closed with non-monetary relief,Yes,,1667426
11/23/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase,CA,93955,Referral,11/25/2015,Closed with explanation,Yes,,1669489
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,FL,349XX,Web,11/23/2015,Closed with explanation,Yes,,1668217
11/23/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Equifax,NY,11953,Web,11/23/2015,Closed with explanation,Yes,Yes,1668787
11/23/2015,Credit reporting,,Incorrect information on credit report,Public record,,Company chooses not to provide a public response,TransUnion,TX,77069,Web,11/23/2015,Closed with explanation,Yes,,1668636
11/23/2015,Credit card,,Billing disputes,,,Company chooses not to provide a public response,Citibank,OH,436XX,Web,11/23/2015,Closed with non-monetary relief,Yes,Yes,1671216
11/23/2015,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,,Equifax,AZ,85295,Web,11/23/2015,Closed with explanation,Yes,,1668405
11/23/2015,Mortgage,Other mortgage,Other,,,,"Bayview Loan Servicing, LLC",NY,11416,Referral,11/25/2015,In progress,Yes,,1667418
11/23/2015,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Wells Fargo,VA,201XX,Web,11/23/2015,Closed with explanation,Yes,Yes,1668397
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,Company chooses not to provide a public response,"American Collections Enterprise, Inc.",MS,38683,Web,11/24/2015,Closed with explanation,Yes,,1669570
11/23/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,,The Huntington National Bank,IN,47725,Web,11/25/2015,In progress,Yes,,1668773
11/23/2015,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Wells Fargo,VA,201XX,Web,11/23/2015,Closed with explanation,Yes,,1668396
11/23/2015,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,Company believes it acted appropriately as authorized by contract or law,Medical Business Bureau,CO,80701,Web,11/23/2015,Closed with explanation,Yes,,1668723
11/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,AmeriCollect,MS,38683,Web,11/24/2015,Closed with explanation,Yes,,1669571
11/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,FL,349XX,Web,11/23/2015,Closed with explanation,Yes,,1668218
11/23/2015,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,,Transworld Systems Inc.,MD,21230,Fax,11/30/2015,In progress,Yes,,1667915
11/23/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase,TX,77410,Web,11/23/2015,Closed with explanation,Yes,,1667393
11/23/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"Bayview Loan Servicing, LLC",NY,117XX,Web,11/23/2015,In progress,Yes,,1668622
11/23/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,"The CMI Group, Inc.",GA,30907,Web,11/24/2015,Closed with non-monetary relief,Yes,,1669559
11/23/2015,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,GA,30324,Web,11/23/2015,In progress,Yes,,1667438
